06-14-2024 07:15:57  OPT INSERT Count ==> 1 ..insert into OPTION_ITEMS (OPTION_TYPE, IS_TRADED,instrument, Open_Interest, PREVDAY_OPEN_INTEREST, LAST_PRICE ,  exchange_symbol, PREVDAY_CLOSE, acc_volume, strike_price, EXPIRY_DATE, filedate, UPDATE_DATE_TIME_BHAV) values('CE',1,'OPTIDX','73650','56685','1.7','BANKNIFTY','1.7','1084650','58000','06-19-2024', 'fo13JUN2024bhav.csv', getDate())
06-14-2024 07:15:57  OPT INSERT Count ==> 1 ..insert into OPTION_ITEMS (OPTION_TYPE, IS_TRADED,instrument, Open_Interest, PREVDAY_OPEN_INTEREST, LAST_PRICE ,  exchange_symbol, PREVDAY_CLOSE, acc_volume, strike_price, EXPIRY_DATE, filedate, UPDATE_DATE_TIME_BHAV) values('CE',1,'OPTIDX','510255','276090','1.35','BANKNIFTY','1.35','3399600','58500','06-19-2024', 'fo13JUN2024bhav.csv', getDate())
06-14-2024 07:15:57  OPT INSERT Count ==> 1 ..insert into OPTION_ITEMS (OPTION_TYPE, IS_TRADED,instrument, Open_Interest, PREVDAY_OPEN_INTEREST, LAST_PRICE ,  exchange_symbol, PREVDAY_CLOSE, acc_volume, strike_price, EXPIRY_DATE, filedate, UPDATE_DATE_TIME_BHAV) values('PE',1,'OPTIDX','250065','34845','0.6','BANKNIFTY','0.6','1091475','39500','06-19-2024', 'fo13JUN2024bhav.csv', getDate())
06-14-2024 07:15:57  OPT INSERT Count ==> 1 ..insert into OPTION_ITEMS (OPTION_TYPE, IS_TRADED,instrument, Open_Interest, PREVDAY_OPEN_INTEREST, LAST_PRICE ,  exchange_symbol, PREVDAY_CLOSE, acc_volume, strike_price, EXPIRY_DATE, filedate, UPDATE_DATE_TIME_BHAV) values('PE',1,'OPTIDX','6375','2925','2.2','BANKNIFTY','2.2','94825','43900','06-19-2024', 'fo13JUN2024bhav.csv', getDate())
06-14-2024 07:15:57  OPT INSERT Count ==> 1 ..insert into OPTION_ITEMS (OPTION_TYPE, IS_TRADED,instrument, Open_Interest, PREVDAY_OPEN_INTEREST, LAST_PRICE ,  exchange_symbol, PREVDAY_CLOSE, acc_volume, strike_price, EXPIRY_DATE, filedate, UPDATE_DATE_TIME_BHAV) values('PE',1,'OPTIDX','8415','2415','2.45','BANKNIFTY','2.45','70325','44100','06-19-2024', 'fo13JUN2024bhav.csv', getDate())
06-14-2024 07:15:57  OPT INSERT Count ==> 1 ..insert into OPTION_ITEMS (OPTION_TYPE, IS_TRADED,instrument, Open_Interest, PREVDAY_OPEN_INTEREST, LAST_PRICE ,  exchange_symbol, PREVDAY_CLOSE, acc_volume, strike_price, EXPIRY_DATE, filedate, UPDATE_DATE_TIME_BHAV) values('PE',1,'OPTIDX','6795','1845','2.45','BANKNIFTY','2.45','72850','44200','06-19-2024', 'fo13JUN2024bhav.csv', getDate())
06-14-2024 07:15:57  OPT INSERT Count ==> 1 ..insert into OPTION_ITEMS (OPTION_TYPE, IS_TRADED,instrument, Open_Interest, PREVDAY_OPEN_INTEREST, LAST_PRICE ,  exchange_symbol, PREVDAY_CLOSE, acc_volume, strike_price, EXPIRY_DATE, filedate, UPDATE_DATE_TIME_BHAV) values('PE',1,'OPTIDX','2265','1920','2.5','BANKNIFTY','2.5','40825','44300','06-19-2024', 'fo13JUN2024bhav.csv', getDate())
06-14-2024 07:15:57  OPT INSERT Count ==> 1 ..insert into OPTION_ITEMS (OPTION_TYPE, IS_TRADED,instrument, Open_Interest, PREVDAY_OPEN_INTEREST, LAST_PRICE ,  exchange_symbol, PREVDAY_CLOSE, acc_volume, strike_price, EXPIRY_DATE, filedate, UPDATE_DATE_TIME_BHAV) values('PE',1,'OPTIDX','3270','2070','2.5','BANKNIFTY','2.5','46175','44400','06-19-2024', 'fo13JUN2024bhav.csv', getDate())
06-14-2024 07:15:57  OPT INSERT Count ==> 1 ..insert into OPTION_ITEMS (OPTION_TYPE, IS_TRADED,instrument, Open_Interest, PREVDAY_OPEN_INTEREST, LAST_PRICE ,  exchange_symbol, PREVDAY_CLOSE, acc_volume, strike_price, EXPIRY_DATE, filedate, UPDATE_DATE_TIME_BHAV) values('PE',1,'OPTIDX','1530','1590','2.6','BANKNIFTY','2.6','43650','44600','06-19-2024', 'fo13JUN2024bhav.csv', getDate())
06-14-2024 07:15:57  OPT INSERT Count ==> 1 ..insert into OPTION_ITEMS (OPTION_TYPE, IS_TRADED,instrument, Open_Interest, PREVDAY_OPEN_INTEREST, LAST_PRICE ,  exchange_symbol, PREVDAY_CLOSE, acc_volume, strike_price, EXPIRY_DATE, filedate, UPDATE_DATE_TIME_BHAV) values('PE',1,'OPTIDX','270','270','3495.95','BANKNIFTY','3493.8','0','53400','06-19-2024', 'fo13JUN2024bhav.csv', getDate())
