SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
512247,ASHIRWAD CAP,X ,Q,8.74,8.89,8.60,8.89,8.89,8.09,2488,1343586,11915527.00,,INE894A01026,19-Jun-24,,
512257,SVARTCORP   ,X ,Q,4.39,4.50,3.95,4.27,4.32,4.27,690,264282,1110829.00,,INE895A01023,19-Jun-24,,
512267,MEDIA MATRIX,B ,Q,19.94,19.94,19.03,19.15,19.05,19.30,503,156234,2996084.00,,INE200D01020,19-Jun-24,,
512296,BHAGYA INL  ,B ,Q,116.00,116.00,110.60,110.95,111.10,113.20,389,13881,1552480.00,,INE458B01036,19-Jun-24,,
512301,CHAMBAL BREW,XT,Q,9.44,9.59,9.00,9.17,9.56,9.14,194,41186,387967.00,,INE417N01011,19-Jun-24,,
512329,SGMART      ,T ,Q,460.00,476.45,458.00,469.45,475.80,467.15,614,55168,25989143.00,,INE385F01024,19-Jun-24,,
512344,ARAVALI SEC.,XT,Q,7.00,7.00,7.00,7.00,7.00,6.67,16,9005,63035.00,,INE068C01015,19-Jun-24,,
512379,CRESSANDA SO,XT,Q,10.40,10.50,10.27,10.39,10.39,10.46,1806,2026021,21021907.00,,INE716D01033,19-Jun-24,,
512381,STARTECK    ,B ,Q,343.45,350.75,328.00,350.75,350.75,292.30,128,7140,2487272.00,,INE992I01013,19-Jun-24,,
512393,SHARDUL SECU,X ,Q,248.15,248.15,248.15,248.15,248.15,261.20,71,1239,307457.00,,INE037B01012,19-Jun-24,,
512399,SERA        ,XT,Q,15.89,15.89,15.89,15.89,15.89,15.58,29,17975,285622.00,,INE017I01027,19-Jun-24,,
512415,MERCURY TRAD,XT,Q,14.40,14.40,14.40,14.40,14.40,14.12,1,100,1440.00,,INE319T01016,19-Jun-24,,
512425,NIRAV COMMER,X ,Q,619.00,619.00,595.00,598.65,617.00,595.35,5,96,57266.00,,INE242B01018,19-Jun-24,,
512437,APOLLO FIN I,X ,Q,862.05,889.80,862.05,864.55,889.80,889.25,47,847,733145.00,,INE412D01013,19-Jun-24,,
512441,ENBEE TRADG.,XT,Q,11.93,12.57,11.93,12.04,12.20,12.06,133,34625,423680.00,,INE993I01011,19-Jun-24,,
